name,rating,review_count,price,categories,latitude,longitude,address,city_queried
St Lawrence Thrift Store,3.8,9,$,"Furniture Stores, Women's Clothing, Thrift Stores",40.50692350667139,-111.4159908,"84 S 100th W Heber City, UT 84032","Lehi, UT"
Agape Thrift Store & Food Pantry,2.4,8,,"Thrift Stores, Food Banks",40.04394,-111.71798,"10 S 900 E Payson, UT 84651","Lehi, UT"
Habitat for Humanity of Summit & Wasatch Counties,4.1,15,,"Community Service/Non-Profit, Thrift Stores",40.721432,-111.480685,"6280 Silver Creek Dr Park City, UT 84098","Lehi, UT"
Deseret Industries Thrift Store And Donation Center,3.4,7,$,"Thrift Stores, Donation Center",40.7057255366737,-112.026987075806,"2994 Glen Eagle Dr Salt Lake City, UT 84120","Lehi, UT"
Indy Clover,5.0,1,,"Thrift Stores, Women's Clothing",40.56292280906998,-111.93949440329848,"10372 S Redwood Rd South Jordan, UT 84095","Lehi, UT"
Deseret Industries Thrift Store,3.4,9,,Thrift Stores,40.157543,-111.641153,"655 S 1750 W Springville, UT 84663","Lehi, UT"
Heber Valley Thrift,3.3,3,,"Thrift Stores, Used, Vintage & Consignment",40.50777,-111.41251,"55 E Center St Heber City, UT 84032","Lehi, UT"
Deseret Industries - Sandy,3.1,33,$,Thrift Stores,40.58143345463519,-111.86830490057427,"825 E 9400 S Sandy, UT 84094","Lehi, UT"
Preloved Sandy,4.0,1,,Thrift Stores,40.5796252,-111.86834,"834 E 9400 S Ste 55 Sandy, UT 84094","Lehi, UT"
Tooele Thrift,5.0,1,,"Thrift Stores, Used, Vintage & Consignment",40.529943235310974,-112.29921365434748,"34 S Main St Tooele, UT 84074","Lehi, UT"
Preloved Riverton,3.3,6,,"Thrift Stores, Women's Clothing, Children's Clothing",40.521662631483515,-111.95808096278564,"12652 South 2700 W Ste B Riverton, UT 84065","Lehi, UT"
Deseret Industries Stores,4.1,18,$,"Thrift Stores, Donation Center",40.6210349961583,-111.939751991615,"7166 S Redwood Rd West Jordan, UT 84084","Lehi, UT"
Treasure Hunt Thrift,4.0,2,,Thrift Stores,40.651546,-111.983047,"3869 West 5400 S Taylorsville, UT 84129","Lehi, UT"
iconoCLAD,4.6,129,$$,"Used, Vintage & Consignment, Women's Clothing, Thrift Stores",40.76258799999999,-111.87895967055228,"414 E 300th S Salt Lake City, UT 84111","Lehi, UT"
Green World Thrift Market,4.3,4,,"Used, Vintage & Consignment, Thrift Stores, Accessories",40.71278,-111.93943,"2698 S Redwood Rd Unit E-F West Valley City, UT 84119","Lehi, UT"
University Surplus & Salvage,4.0,2,,Thrift Stores,40.76465671313438,-111.830291301012,"2110 E Stover St Salt Lake City, UT 84113","Lehi, UT"
Abode,4.4,15,$$,"Thrift Stores, Used, Vintage & Consignment",40.685297,-111.81505,"3976 S 2700th E Salt Lake City, UT 84124","Lehi, UT"
Uplift Community Alliance,4.7,13,,"Thrift Stores, Community Service/Non-Profit",40.69955823442479,-111.8312609,"2090 E 3300 S Salt Lake City, UT 84109","Lehi, UT"
Value Vault,3.3,8,,"Thrift Stores, Toy Stores, Home Decor",40.66901618652792,-111.9562045,"2600 W 4700th S Taylorsville, UT 84129","Lehi, UT"
San Andres Community Thrift Store,0.0,0,,Thrift Stores,40.04481,-111.72835,"315 E 100th N Payson, UT 84651","Lehi, UT"
Deseret Industries Stores,3.7,18,$,"Used, Vintage & Consignment, Thrift Stores",40.75404,-111.9126,"743 W 700th S Salt Lake City, UT 84104","Lehi, UT"
